npv_cost_gbp,total_co2_t,first_overlay_year
130879.785966386,224.806128,8
131212.202612232,166.990128,10
85651.4007226551,165.140016,13
148789.066523481,226.65624,8
123069.849268385,284.47224,7
82540.4123893782,195.898128,9
120669.799761912,165.140016,13
100477.468183726,228.506352,7
103056.810134923,226.65624,9
74862.3537778662,166.990128,10
157620.114177141,286.322352,7
74549.9879326799,165.140016,11
79742.2664193146,165.140016,11
162232.09524337,284.47224,7
88858.2184990297,195.898128,10
88359.1457340328,257.414352,7
78201.0389649891,166.990128,11
106524.455481393,226.65624,7
129577.536598447,259.264464,7
167248.028963425,286.322352,6
124481.947427514,195.898128,9
115830.402741306,259.264464,6
153599.674070079,257.414352,7
107715.585141096,257.414352,7
139233.687203873,257.414352,7
85029.358873926,166.990128,10
121770.422494167,257.414352,7
112835.356342783,226.65624,8
106153.082306041,197.74824,8
130171.256193406,197.74824,9
93639.0998952669,195.898128,9
119623.174967281,257.414352,7
135868.137903935,286.322352,5
141549.840471658,226.65624,8
147331.321525276,257.414352,7
136207.112320021,311.530128,5
97396.1084599154,226.65624,8
95604.7164393076,165.140016,12
142168.004628607,228.506352,7
129609.137344303,195.898128,9
164577.94888511,313.38024,6
93296.5464745458,195.898128,10
121827.94558073,226.65624,8
142843.031843047,226.65624,8
79794.4559984719,195.898128,9
75555.6342531882,166.990128,10
86372.3393995418,257.414352,7
129489.254612214,197.74824,9
153131.464456418,228.506352,7
170911.874090518,311.530128,6
107099.478789644,257.414352,7
101986.354782253,195.898128,9
75777.5966895116,166.990128,11
85727.7352696343,195.898128,10
124306.528458955,226.65624,8
100648.064143719,165.140016,11
108775.083918049,257.414352,6
125029.671769149,226.65624,7
142591.633613754,286.322352,7
105834.842663353,226.65624,7
143365.340764347,286.322352,6
132853.287495987,286.322352,6
86346.8610220622,165.140016,13
110230.661981576,197.74824,9
127111.744483687,226.65624,7
87498.7395953843,226.65624,8
150487.207693214,257.414352,7
87215.3471699873,166.990128,11
111938.3707781,166.990128,11
127259.903280857,195.898128,9
102986.317183414,226.65624,8
117935.016273718,228.506352,7
84696.1921088107,226.65624,8
165069.953349403,340.438128,5
105320.233253416,166.990128,10
66486.15249747,165.140016,13
112524.807677628,165.140016,12
146188.792439475,255.56424,7
