npv_cost_gbp,total_co2_t,first_overlay_year
107372.6471465,47.49672,7
85844.461808751,47.388096,7
61043.5894754114,44.672496,8
94664.2892106404,41.848272,10
77521.1705472783,44.672496,8
94184.688762096,44.672496,8
107536.277284876,55.426272,5
126765.2746538,50.103696,7
73617.1960700754,52.819296,5
114385.10682187,58.033248,4
116591.984368998,85.977648,5
67774.6850954212,47.49672,7
66966.7099511469,44.78112,7
65244.5106792701,50.103696,7
96668.2371110765,55.534896,5
105594.521317847,47.49672,7
143677.074659567,86.086272,5
132042.280121786,58.250496,5
68000.94092609,44.672496,7
67108.6841130388,41.848272,10
83063.5206691959,55.317648,5
81020.3001843226,41.848272,10
147409.42348299,116.96352,4
145462.158928498,88.801872,4
87179.4196191288,55.534896,6
110980.142851384,47.605344,7
67819.0550277707,47.49672,7
150396.016119658,119.570496,4
59776.5019400259,44.672496,8
92811.2902947595,44.672496,8
104355.80323726,47.388096,7
77696.0467002169,50.103696,7
77266.6855253205,55.317648,6
68973.3000183372,47.49672,7
79352.4222468421,39.132672,11
94935.8366127921,47.605344,7
69918.1174741167,47.388096,7
99922.9935866756,52.710672,6
83876.0169307311,47.49672,7
62853.5932066094,44.672496,8
119450.565522111,86.086272,5
62762.5589658253,47.49672,7
70938.903995006,47.388096,7
83381.4795091107,41.956896,9
70077.2096958727,47.49672,7
82980.7721128004,44.78112,8
74642.7965137228,50.21232,6
89055.2087824656,55.317648,5
70419.3645838626,44.672496,7
107690.30830772,55.426272,6
122676.333980896,58.033248,5
86456.4929902627,47.388096,7
112231.893578772,52.602048,5
121525.343939763,55.534896,5
95764.5774173387,52.819296,6
64306.8703277936,41.956896,9
138767.133020561,55.426272,5
92805.4870152825,50.103696,6
81308.4843520487,41.848272,10
68147.1392034992,50.21232,7
67238.7572861959,41.848272,9
73220.9208445127,55.426272,5
112377.541640665,47.49672,7
89379.317475746,44.78112,8
64591.3383884032,52.710672,6
104639.040676285,44.78112,7
84344.4832826054,50.103696,7
79839.6553796269,52.602048,5
130522.520619331,52.710672,6
64248.5972560102,47.49672,7
87795.3796735762,47.49672,7
75581.6580514682,39.132672,11
87621.9909490032,44.563872,8
72986.7536698034,50.103696,6
78843.3240436988,58.033248,5
84725.0731667892,88.910496,4
75538.3081795308,41.956896,8
57998.1016838334,44.672496,8
92044.5195567824,44.672496,8
66447.8841361414,44.78112,7
78193.8037521013,41.956896,9
62650.9418206857,44.672496,8
54484.696823094,41.848272,10
87269.1896752128,47.388096,7
129823.700994401,50.21232,6
132876.481153374,86.194896,5
81515.0293317738,44.78112,8
90844.0266262392,44.672496,8
74844.0548627694,50.21232,7
84296.3901904685,44.672496,7
135900.121331408,52.710672,6
101612.243024351,91.626096,4
96139.6922355529,52.710672,5
145285.692748415,58.033248,5
96827.9072341726,47.49672,7
70127.0692700839,44.672496,8
114593.195802296,52.819296,6
90919.4551391562,39.132672,10
148202.907531678,58.141872,5
86802.8614892603,44.672496,8
90508.8471417202,44.672496,8
101235.893765721,44.78112,7
119448.15349806,86.086272,4
92522.873032666,52.819296,5
86359.975470341,47.605344,7
82025.0740011275,52.819296,6
96498.7299365522,41.956896,9
91789.8992938432,52.819296,6
80281.5295443265,47.279472,7
78025.6093339833,44.672496,8
84596.2157513664,41.848272,9
106737.903215097,55.534896,5
118389.977435424,86.194896,5
92098.0237347516,44.78112,7
99136.2081427322,50.21232,6
99944.3189607906,50.21232,6
111353.685119631,52.819296,5
69429.8762816123,50.103696,6
124897.793591673,55.426272,5
73038.0965068353,44.672496,9
80326.4368655804,41.956896,9
87213.3688714907,44.672496,8
84307.5007528511,41.848272,9
142601.246033415,125.11032,4
90551.0612908166,55.534896,5
66406.0923791982,47.49672,7
67234.8043660775,41.848272,10
73822.8592808962,47.388096,7
88064.9584385373,50.103696,5
101865.377901013,55.426272,5
61605.2475343943,41.956896,9
120444.717692759,55.426272,6
143493.880710507,55.426272,5
90879.3527383308,47.49672,7
95827.929607391,55.426272,6
99350.912238849,50.103696,6
82208.2179153929,39.024048,11
71207.9605389367,44.672496,8
70623.8465689802,47.49672,7
88850.712005295,44.672496,8
59480.8693353811,44.672496,8
64857.3831551557,44.672496,8
65186.1897417178,50.103696,6
74183.5263300544,44.672496,8
87392.8113204848,41.848272,10
145290.331188717,58.35912,5
129222.676856416,58.033248,4
112648.648220522,52.710672,5
71931.3308192544,44.672496,8
57559.9239301908,44.672496,8
64467.8517809414,44.672496,8
81063.1468374564,52.710672,6
90739.2145276385,85.977648,4
132696.606063082,50.103696,5
90582.5317566611,44.672496,8
84890.8043255589,44.78112,7
148080.323250203,88.801872,4
68395.1279337634,50.21232,6
106992.697803983,50.21232,6
67671.9681107228,44.672496,8
111565.858969122,52.602048,5
111106.734408703,91.517472,4
82794.6125248274,44.78112,8
98974.7329303735,44.78112,8
102251.939893024,86.194896,5
82035.5692354431,52.819296,6
77419.6312553092,47.49672,7
98567.671231229,116.854896,5
109436.616827733,44.672496,7
104265.131723291,47.388096,7
78385.6450154369,52.92792,5
89026.4094498588,50.103696,6
77152.296698142,41.956896,9
106246.978479535,91.626096,4
85229.2897307618,47.605344,6
99126.2460388217,44.672496,8
116570.054027373,63.681696,4
63330.8221905038,44.672496,8
80627.2540525212,47.49672,7
84114.3842977858,50.103696,5
111521.868908256,52.819296,6
107100.966276347,47.605344,6
51828.2176036712,41.848272,10
128320.962439453,55.534896,5
90386.8784482505,58.141872,5
66279.5713917995,47.49672,7
86542.152885077,52.819296,5
79414.4750909453,50.21232,6
51558.5679321434,39.132672,11
127134.523974019,52.710672,5
61589.0295816214,41.956896,9
63141.7716794756,47.49672,7
104286.653281031,52.819296,5
77403.799579729,52.819296,6
72118.4410477662,50.21232,6
95488.9013754862,52.710672,6
97675.5522295572,44.672496,8
114907.099096714,122.39472,4
119485.661364099,88.801872,5
88459.5892221779,44.672496,8
94086.1270958861,85.977648,5
119064.228223265,52.710672,5
85993.9531793299,44.78112,7
84807.8811212592,44.672496,8
80966.6984800675,44.78112,7
87709.2087196836,47.49672,7
60994.7352535434,47.49672,7
85020.963464078,47.388096,7
102511.07851217,44.78112,8
100356.921594234,58.250496,4
94718.8498015573,41.956896,9
119854.708856178,47.605344,6
103336.748864901,44.78112,7
140330.47768343,58.141872,4
66434.2711038573,44.672496,8
131118.881138571,89.01912,4
