npv_cost_gbp,total_co2_t,first_overlay_year
91324.3264685629,132.1120128,12
100162.298168888,133.5921024,11
138887.526323236,133.5921024,11
147063.630656387,133.5921024,10
91151.3792418431,132.1120128,11
111525.556915263,108.9856128,15
152134.843273287,158.198592,9
126356.696495079,133.5921024,11
95855.4017662986,132.1120128,12
131790.705860067,132.1120128,12
132545.401182785,156.7185024,9
119712.772405019,158.198592,9
116929.81491928,132.1120128,12
123388.373018001,133.5921024,11
143719.827192956,133.5921024,11
113176.871812077,132.1120128,13
135873.517315792,132.1120128,12
90839.1286689192,133.5921024,10
169260.987482274,158.198592,8
86764.4289935706,133.5921024,11
100590.690148461,156.7185024,9
144181.246680153,132.1120128,12
118003.829185092,156.7185024,10
102243.712041243,132.1120128,11
84524.9801335574,132.1120128,13
134826.48133242,132.1120128,12
113120.731827763,133.5921024,10
127417.433719836,132.1120128,13
203746.448675399,205.9314816,7
119689.047965791,156.7185024,9
135938.12778278,156.7185024,10
111404.750977242,181.324992,7
181572.703099235,201.4912128,7
112080.581394989,156.7185024,10
104215.196280307,158.198592,8
109538.667731001,132.1120128,11
110330.878798712,108.9856128,20
124858.205155428,108.9856128,15
136624.50071802,132.1120128,13
157852.920991548,181.324992,7
114212.523525604,108.9856128,17
110761.752727431,156.7185024,9
136826.397767806,132.1120128,11
109366.712309031,108.9856128,14
116469.144599225,132.1120128,13
152913.250508801,202.9713024,7
108172.133196693,132.1120128,12
146505.583180204,156.7185024,10
78762.552698878,132.1120128,12
117096.858105707,182.8050816,7
126519.42600513,133.5921024,10
95362.2415482627,132.1120128,13
126952.496119894,158.198592,9
88204.9262052504,132.1120128,12
104365.340680707,132.1120128,11
101011.167149445,132.1120128,13
91114.9051529945,133.5921024,10
130420.998189035,132.1120128,12
105997.182717458,133.5921024,11
109611.548241996,108.9856128,15
107647.126156135,108.9856128,15
87691.4596196365,133.5921024,10
159313.905211872,181.324992,8
115443.990522122,108.9856128,14
145570.494321412,158.198592,9
99594.9383646357,108.9856128,18
111855.559829994,132.1120128,11
138987.949342621,156.7185024,10
100240.250570202,156.7185024,10
92488.9139693679,132.1120128,11
84633.6003582269,132.1120128,12
95934.9225506852,156.7185024,10
79853.9139322843,132.1120128,13
102435.679434532,156.7185024,9
138260.247627799,108.9856128,14
118579.471814567,107.5055232,15
85351.2979520584,132.1120128,13
86354.9728941503,108.9856128,14
107266.409619042,132.1120128,13
123807.0392445,156.7185024,9
138306.519645628,133.5921024,11
108594.559564755,132.1120128,11
151964.893375461,132.1120128,11
106285.003155368,132.1120128,11
93607.1941152185,133.5921024,11
147490.979390372,181.324992,8
120431.815110114,132.1120128,13
107544.989529036,108.9856128,15
105691.254422475,108.9856128,14
148029.850078151,181.324992,8
96288.9085812845,132.1120128,13
86401.3455460303,108.9856128,15
146902.914128071,156.7185024,10
137992.220676328,158.198592,9
85179.2780605476,108.9856128,15
102297.70431265,156.7185024,10
146529.516331288,156.7185024,9
116435.037769959,108.9856128,14
135433.750267532,133.5921024,10
122027.013980462,132.1120128,13
106146.106797305,108.9856128,13
187057.723342388,205.9314816,7
136648.63437424,156.7185024,10
158907.883331433,226.0977024,6
116023.365232238,108.9856128,13
134057.358528258,156.7185024,9
149885.605891298,181.324992,7
182645.483718523,204.451392,7
102930.469690222,181.324992,7
117332.956483741,110.4657024,16
112580.705044721,156.7185024,10
136177.721257053,205.9314816,7
123677.543972583,108.9856128,13
120457.492102402,133.5921024,11
99707.4665890176,133.5921024,11
121507.592559155,107.5055232,15
148166.372305298,158.198592,8
98031.357210284,108.9856128,17
95813.757050704,205.9314816,7
109574.234035215,132.1120128,13
113121.160403619,156.7185024,10
78475.149935084,107.5055232,15
129102.13553648,182.8050816,7
90274.2733217758,132.1120128,13
126022.280160877,132.1120128,13
111184.770543396,205.9314816,7
93714.9851706292,132.1120128,12
95898.7433678734,132.1120128,13
95225.7131370078,108.9856128,16
85511.8643900787,108.9856128,14
124425.581819104,132.1120128,12
132202.045396057,179.8449024,9
110983.866076007,107.5055232,15
135698.384327647,156.7185024,9
79385.7617687454,108.9856128,13
109152.968648602,108.9856128,19
95450.815682864,158.198592,9
122426.538426912,132.1120128,12
129254.814662972,181.324992,8
102326.990848473,204.451392,7
147150.721609803,133.5921024,11
117903.000501751,179.8449024,8
150771.437933441,179.8449024,9
123980.056358063,181.324992,8
131737.046067505,158.198592,8
142585.323875463,181.324992,7
138491.384648588,108.9856128,16
133244.965521612,156.7185024,10
117364.303910603,182.8050816,8
133961.832818805,133.5921024,11
124581.015639796,133.5921024,10
137586.46721903,158.198592,9
129125.28296398,132.1120128,13
138629.744151021,156.7185024,10
145965.843472501,158.198592,8
116001.526668709,181.324992,8
139656.128174862,132.1120128,12
144240.88361102,133.5921024,11
116487.114949047,133.5921024,11
82580.5874081154,107.5055232,16
129823.760510656,108.9856128,15
102107.184624032,108.9856128,14
123873.120367537,108.9856128,13
124365.648105001,156.7185024,10
152389.354545353,133.5921024,11
87573.6631655781,133.5921024,10
141022.121337338,181.324992,7
139871.167468526,181.324992,8
90034.8212377387,132.1120128,11
90623.4505930929,132.1120128,12
88588.309773792,156.7185024,10
135718.587319325,204.451392,7
148892.43404615,156.7185024,10
166648.43857809,178.3648128,8
158611.559257432,158.198592,9
96906.6924589016,132.1120128,11
93351.2561088036,108.9856128,15
98534.8664766213,158.198592,9
114930.502573518,108.9856128,16
172075.034234532,204.451392,7
159488.668084389,181.324992,7
101661.329011512,156.7185024,10
145273.5259974,133.5921024,10
84704.7368230307,108.9856128,13
141351.517186447,181.324992,8
75822.6585988622,108.9856128,16
124345.866890765,108.9856128,13
141019.811485818,133.5921024,11
107992.955562162,156.7185024,9
94257.4937384903,158.198592,9
89381.8491420124,133.5921024,11
118316.555202855,108.9856128,18
130253.433312546,156.7185024,10
90527.6007299134,132.1120128,11
124370.389323567,156.7185024,9
113137.562080401,133.5921024,10
85720.9254941345,108.9856128,14
153780.934324781,204.451392,7
89456.7305757361,156.7185024,10
95985.2456262697,132.1120128,13
123108.520477244,132.1120128,13
90250.2314423554,132.1120128,13
112881.46478638,108.9856128,14
108206.370525178,181.324992,8
112318.171488949,181.324992,7
88164.306842827,108.9856128,14
145288.120374886,181.324992,8
145798.628686597,158.198592,9
107058.881296609,132.1120128,13
151467.458848107,181.324992,8
149617.852401223,181.324992,8
126252.433949669,158.198592,9
97442.6722815717,132.1120128,11
191436.983385254,201.4912128,7
114005.216409442,133.5921024,11
114602.101882788,108.9856128,16
91628.5538644097,156.7185024,10
90934.4844152585,108.9856128,16
98371.2822804907,181.324992,8
148374.192453272,132.1120128,11
121511.61920287,108.9856128,14
83466.1575066065,156.7185024,10
144759.601033451,132.1120128,11
106859.31325916,133.5921024,11
97351.5565779823,156.7185024,9
166308.774960536,158.198592,8
85792.399527532,132.1120128,11
115658.990591847,132.1120128,12
108926.446966165,108.9856128,19
125832.70016706,133.5921024,10
96525.1222649159,156.7185024,10
95446.0833234156,158.198592,9
94573.4106207633,181.324992,8
104825.660715238,108.9856128,17
84136.5234816341,132.1120128,12
117713.992547581,108.9856128,15
92107.9577561687,132.1120128,13
118899.28903248,132.1120128,11
88108.4303232793,132.1120128,13
77972.7366280518,108.9856128,18
120259.194130446,132.1120128,11
168551.615112575,156.7185024,9
179794.337761359,204.451392,7
114342.131894767,132.1120128,13
124957.211346363,108.9856128,14
104194.178414237,156.7185024,9
112010.240199595,108.9856128,14
180282.200799858,181.324992,9
106155.000313909,178.3648128,8
131079.148735619,181.324992,8
173883.224339217,179.8449024,8
133501.756035999,133.5921024,10
93120.2440848631,108.9856128,17
147767.311342229,158.198592,9
132722.524671971,108.9856128,14
191339.644504856,204.451392,7
119605.686248067,132.1120128,11
127507.818887941,132.1120128,13
138442.520652104,132.1120128,12
150036.410643155,204.451392,7
117062.96003291,156.7185024,10
122969.916212232,156.7185024,10
112054.037175271,181.324992,8
141766.59664384,132.1120128,13
112659.712910346,156.7185024,9
105120.095070363,133.5921024,10
112846.109472883,133.5921024,11
115603.401651375,108.9856128,16
133024.415272909,181.324992,8
125612.050957251,156.7185024,9
132797.974819525,133.5921024,10
119120.278581692,132.1120128,13
136684.507470726,158.198592,9
132631.598525876,156.7185024,10
88425.7880341212,133.5921024,10
165896.790613206,181.324992,8
96480.6294745574,108.9856128,18
113630.913299046,108.9856128,17
127303.368777751,133.5921024,11
119051.343935993,108.9856128,13
158848.254087204,226.0977024,6
118777.249281474,179.8449024,8
84623.628857798,132.1120128,13
93397.53556439,107.5055232,16
94589.1962770804,132.1120128,13
123375.306867291,181.324992,8
133324.833011083,182.8050816,8
84267.31894661,107.5055232,16
157884.446279306,181.324992,8
164778.522342291,156.7185024,9
120917.667444744,133.5921024,10
136949.652491262,204.451392,7
130112.549595226,156.7185024,10
121970.439039148,107.5055232,15
100778.384217525,132.1120128,11
90163.3947331583,133.5921024,11
128154.580548841,133.5921024,10
83755.6687897164,132.1120128,13
87489.9226446491,108.9856128,14
87962.3746706769,156.7185024,9
99441.880582004,108.9856128,13
123530.391756744,107.5055232,15
188184.02361984,205.9314816,7
154559.685872815,181.324992,7
155630.487713028,181.324992,7
99771.8620739032,132.1120128,13
84827.8238535867,133.5921024,11
95126.5290985287,132.1120128,11
96267.3480939838,133.5921024,11
101213.131739286,158.198592,8
169390.335350177,156.7185024,9
127940.213885837,132.1120128,12
115856.885670821,132.1120128,12
151409.554775029,158.198592,8
84917.6207126297,132.1120128,11
141506.363099576,156.7185024,9
95208.0212070689,132.1120128,12
151020.671643,181.324992,8
127619.068504692,181.324992,8
111548.903599447,132.1120128,13
136880.870267038,132.1120128,13
135991.27276212,204.451392,8
108573.289778022,158.198592,9
109966.079700759,133.5921024,10
107481.454721094,182.8050816,8
148422.375116874,132.1120128,11
143888.487857807,133.5921024,11
106487.729290979,181.324992,8
123187.470384668,156.7185024,9
106876.724690103,108.9856128,17
114714.735651732,158.198592,9
103457.563959491,132.1120128,12
139448.479550076,132.1120128,12
131679.679706816,182.8050816,8
84149.597709776,108.9856128,15
102940.055864161,132.1120128,13
99206.0619709076,133.5921024,10
163013.594234035,201.4912128,8
133337.075379771,132.1120128,13
78982.6835631851,132.1120128,13
166587.636267066,181.324992,8
100446.806580783,156.7185024,10
90673.8407729808,133.5921024,10
115846.962136409,181.324992,8
96438.1737984954,133.5921024,10
77895.1133638542,108.9856128,14
145275.264545459,133.5921024,10
84799.860112158,108.9856128,15
84061.3585588192,132.1120128,12
140159.292837403,181.324992,8
110090.594142687,179.8449024,7
94647.0826398866,156.7185024,9
120017.898972713,156.7185024,10
139510.443812062,132.1120128,11
134996.087194566,226.0977024,7
143615.993776109,204.451392,7
123556.229827281,132.1120128,12
115506.345229538,181.324992,7
146188.330761084,156.7185024,9
119958.992409525,132.1120128,12
119677.36125995,132.1120128,12
112590.724865014,132.1120128,12
121432.458141564,133.5921024,10
82608.2482060566,133.5921024,11
114500.724113301,132.1120128,12
144509.645270696,133.5921024,11
126359.408981075,204.451392,7
135274.091722013,108.9856128,13
144989.264704954,132.1120128,12
126595.720504471,108.9856128,14
160148.360861146,181.324992,8
92925.7127665709,108.9856128,14
150336.248702183,181.324992,8
143144.791735614,132.1120128,12
111459.888046293,132.1120128,12
70977.0986657972,108.9856128,18
124090.052932656,181.324992,8
117625.258365498,108.9856128,15
99916.8839433585,132.1120128,11
136005.306746271,108.9856128,13
176659.117596964,181.324992,8
82431.2883151767,133.5921024,10
108796.782104539,110.4657024,16
89406.7322741548,132.1120128,11
150695.306918221,133.5921024,10
173481.429906727,182.8050816,8
99763.3491838424,133.5921024,10
170686.679693387,181.324992,8
97909.1460561615,108.9856128,15
141114.316761303,156.7185024,9
102513.903565924,108.9856128,13
124342.16666874,108.9856128,14
144706.659379182,132.1120128,12
114018.330027095,132.1120128,10
100153.282202898,156.7185024,10
96226.1873248132,156.7185024,9
88478.5831329415,132.1120128,12
93130.1299027328,133.5921024,10
121815.544779734,133.5921024,10
100024.933001409,132.1120128,11
116506.199594497,158.198592,8
131980.367596745,156.7185024,9
143042.161911387,182.8050816,7
119388.385008537,182.8050816,7
130615.444788655,108.9856128,14
135543.80587592,132.1120128,12
174724.755519671,200.0111232,6
97184.9001798688,132.1120128,11
116561.428486961,132.1120128,12
132763.501920161,156.7185024,10
163889.502920621,181.324992,8
104207.308472568,179.8449024,7
147472.152222198,132.1120128,12
158126.244853284,181.324992,8
126045.052354853,181.324992,8
139322.749366334,156.7185024,10
136902.012511424,132.1120128,13
103865.689402939,132.1120128,13
158005.641334418,202.9713024,7
139280.01407666,158.198592,9
117502.04510322,158.198592,9
113734.628818771,158.198592,8
111699.08627401,132.1120128,12
92116.9435490276,156.7185024,9
129795.169153253,108.9856128,16
95199.8870999513,132.1120128,13
158036.226575286,181.324992,8
136329.658077825,132.1120128,12
122472.697416891,132.1120128,12
126403.785187214,181.324992,8
108590.401890972,179.8449024,8
88134.0206214974,108.9856128,14
127629.926233259,156.7185024,10
120029.224083711,181.324992,8
101029.084583724,133.5921024,10
84850.7283770332,132.1120128,11
99422.6998695718,156.7185024,9
125275.404126628,132.1120128,13
118600.062507806,205.9314816,7
93437.8279432542,158.198592,9
166869.78341767,158.198592,9
141037.468425262,132.1120128,11
126215.897993619,132.1120128,12
190976.22994831,181.324992,8
134572.144394733,181.324992,7
85361.7302797568,133.5921024,11
100675.537218451,108.9856128,13
128150.312399836,181.324992,8
84983.9771993645,108.9856128,14
103803.664171881,133.5921024,11
98200.6393553588,132.1120128,11
